,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,6249526,41980.0,188874.0,1164.0,3496913.0,40650.0,2563739.0,15079.0,18861,570.0,83350119.0,251554.0,331341050,53,1754.0,4,North America
1,Brazil,3952790,41889.0,122681.0,1166.0,3159096.0,61362.0,671013.0,8318.0,18573,576.0,14352484.0,67439.0,212821986,54,1735.0,15,South America
2,India,3766108,78169.0,66460.0,1025.0,2899521.0,62144.0,800127.0,8944.0,2724,48.0,43324834.0,31342.0,1382345085,367,20800.0,32,Asia
3,Russia,1000048,4729.0,17299.0,123.0,815705.0,6318.0,167044.0,2300.0,6852,119.0,36900000.0,252834.0,145945524,146,8437.0,4,Europe
4,Peru,657129,5092.0,29068.0,124.0,471599.0,9270.0,156462.0,1493.0,19883,880.0,3233034.0,97822.0,33050211,50,1137.0,10,South America
5,South Africa,628259,1218.0,14263.0,114.0,549993.0,9070.0,64003.0,539.0,10570,240.0,3705408.0,62342.0,59436725,95,4167.0,16,Africa
6,Colombia,624069,8901.0,20052.0,389.0,469557.0,10082.0,134460.0,1493.0,12242,393.0,2777107.0,54478.0,50976248,82,2542.0,18,South America
7,Mexico,599560,3719.0,64414.0,256.0,416738.0,4158.0,118408.0,3086.0,4642,499.0,1345483.0,10417.0,129166028,215,2005.0,96,North America
8,Spain,470973,8115.0,29152.0,58.0,0.0,0.0,0.0,823.0,10073,623.0,9210337.0,196979.0,46757980,99,1604.0,5,Europe
9,Argentina,428239,10504.0,8919.0,259.0,308376.0,7181.0,110944.0,2314.0,9460,197.0,1277751.0,28227.0,45267449,106,5075.0,35,South America
10,Chile,413145,1419.0,11321.0,32.0,385790.0,1911.0,16034.0,962.0,21580,591.0,2458762.0,128431.0,19144605,46,1691.0,8,South America
11,Iran,376894,1682.0,21672.0,101.0,325124.0,1891.0,30098.0,3709.0,4477,257.0,3256122.0,38682.0,84176929,223,3884.0,26,Asia
12,UK,337168,1295.0,41504.0,3.0,0.0,0.0,0.0,60.0,4962,611.0,16273209.0,239494.0,67948282,202,1637.0,4,Europe
13,Saudi Arabia,316670,898.0,3929.0,32.0,291514.0,718.0,21227.0,1519.0,9072,113.0,5026127.0,143991.0,34905942,110,8884.0,7,Asia
14,Bangladesh,314946,1950.0,4316.0,35.0,208177.0,3290.0,102453.0,0.0,1909,26.0,1562412.0,9471.0,164972348,524,38223.0,106,Asia
15,Pakistan,296149,300.0,6298.0,4.0,280970.0,288.0,8881.0,589.0,1336,28.0,2642028.0,11922.0,221612785,748,35188.0,84,Asia
16,France,286007,4982.0,30661.0,26.0,86712.0,243.0,168634.0,424.0,4380,470.0,7500000.0,114856.0,65298930,228,2130.0,9,Europe
17,Turkey,271705,1572.0,6417.0,47.0,245929.0,1003.0,19359.0,991.0,3216,76.0,7247935.0,85779.0,84495243,311,13167.0,12,Asia
18,Italy,270189,978.0,35491.0,8.0,207944.0,291.0,26754.0,107.0,4470,587.0,8725909.0,144359.0,60446035,224,1703.0,7,Europe
19,Germany,246001,1209.0,9381.0,10.0,221800.0,1900.0,14820.0,245.0,2934,112.0,11208091.0,133699.0,83830972,341,8936.0,7,Europe
20,Iraq,238338,3404.0,7123.0,81.0,180473.0,3871.0,50742.0,521.0,5903,176.0,1624331.0,40233.0,40372771,169,5668.0,25,Asia
21,Philippines,224222,3441.0,3596.0,38.0,158001.0,453.0,62625.0,837.0,2042,33.0,2633709.0,23980.0,109830324,490,30542.0,42,Asia
22,Indonesia,177571,2775.0,7505.0,88.0,128057.0,2098.0,42009.0,0.0,648,27.0,2270627.0,8286.0,274021604,1543,36512.0,121,Asia
23,Canada,129425,477.0,9132.0,6.0,114607.0,380.0,5686.0,52.0,3424,242.0,5545549.0,146710.0,37799407,292,4139.0,7,North America
24,Ukraine,123294,2079.0,2605.0,48.0,57802.0,688.0,62887.0,177.0,2822,60.0,1556655.0,35632.0,43686577,354,16770.0,28,Europe
25,Qatar,118994,216.0,198.0,1.0,115895.0,228.0,2901.0,65.0,42380,71.0,634745.0,226064.0,2807805,24,14181.0,4,Asia
26,Israel,118538,1942.0,957.0,18.0,96214.0,1205.0,21367.0,414.0,12888,104.0,2323830.0,252656.0,9197590,78,9611.0,4,Asia
27,Bolivia,116598,630.0,5027.0,61.0,60408.0,1911.0,51163.0,71.0,9965,430.0,242146.0,20696.0,11700207,100,2327.0,48,South America
28,Ecuador,114309,542.0,6571.0,15.0,101723.0,54.0,6015.0,360.0,6462,371.0,331243.0,18726.0,17688599,155,2692.0,53,South America
29,Kazakhstan,105872,77.0,1588.0,65.0,96899.0,602.0,7385.0,221.0,5627,84.0,2434444.0,129387.0,18815231,178,11848.0,8,Asia
30,Egypt,99115,176.0,5440.0,19.0,73828.0,899.0,19847.0,41.0,965,53.0,135000.0,1315.0,102659126,1036,18871.0,760,Africa
31,Dominican Republic,94979,264.0,1738.0,28.0,68736.0,654.0,24505.0,207.0,8740,160.0,373001.0,34325.0,10866667,114,6252.0,29,North America
32,Panama,93552,570.0,2018.0,16.0,66974.0,801.0,24560.0,168.0,21624,466.0,343407.0,79377.0,4326296,46,2144.0,13,North America
33,Romania,88593,1053.0,3681.0,60.0,38454.0,585.0,46458.0,522.0,4611,192.0,1825272.0,94994.0,19214608,217,5220.0,11,Europe
34,Oman,85928,206.0,689.0,4.0,81024.0,214.0,4215.0,154.0,16756,134.0,309212.0,60298.0,5128058,60,7443.0,17,Asia
35,Kuwait,85811,702.0,534.0,3.0,77657.0,433.0,7620.0,90.0,20043,125.0,621616.0,145193.0,4281320,50,8017.0,7,Asia
36,Belgium,85236,194.0,9895.0,1.0,18422.0,7.0,56919.0,74.0,7349,853.0,2289784.0,197422.0,11598451,136,1172.0,5,Europe
37,China,85058,10.0,4634.0,0.0,80208.0,31.0,216.0,4.0,59,3.0,90410000.0,62814.0,1439323776,16922,310601.0,16,Asia
38,Sweden,84566,172.0,5827.0,1.0,0.0,0.0,0.0,19.0,8364,576.0,1094856.0,108292.0,10110233,120,1735.0,9,Europe
39,Guatemala,74893,819.0,2778.0,18.0,62935.0,867.0,9180.0,5.0,4167,155.0,246026.0,13690.0,17971382,240,6469.0,73,North America
40,Belarus,71962,119.0,686.0,5.0,70606.0,138.0,670.0,0.0,7616,73.0,1534792.0,162433.0,9448772,131,13774.0,6,Europe
41,Netherlands,71129,462.0,6230.0,6.0,0.0,0.0,0.0,42.0,4150,363.0,1455274.0,84897.0,17141544,241,2751.0,12,Europe
42,UAE,70805,574.0,384.0,0.0,61491.0,560.0,8930.0,0.0,7144,39.0,7177430.0,724196.0,9910892,140,25810.0,1,Asia
43,Japan,68392,527.0,1296.0,17.0,57823.0,1021.0,9273.0,234.0,541,10.0,1490975.0,11795.0,126407422,1848,97537.0,85,Asia
44,Poland,67922,550.0,2058.0,19.0,47030.0,392.0,18834.0,86.0,1795,54.0,2743434.0,72502.0,37839255,557,18386.0,14,Europe
45,Morocco,63781,1191.0,1184.0,43.0,48922.0,1327.0,13675.0,31.0,1724,32.0,1956416.0,52897.0,36985624,580,31238.0,19,Africa
46,Honduras,61014,840.0,1873.0,15.0,10396.0,154.0,48745.0,43.0,6144,189.0,143807.0,14480.0,9931333,163,5302.0,69,North America
47,Portugal,58243,231.0,1824.0,2.0,42104.0,143.0,14315.0,44.0,5715,179.0,2042805.0,200444.0,10191409,175,5587.0,5,Europe
48,Singapore,56852,40.0,27.0,0.0,55749.0,91.0,1076.0,0.0,9704,5.0,2068284.0,353051.0,5858322,103,216975.0,3,Asia
49,Nigeria,54247,239.0,1023.0,10.0,42010.0,372.0,11214.0,7.0,262,5.0,405916.0,1961.0,206984347,3816,202331.0,510,Africa
50,Ethiopia,53304,1173.0,828.0,19.0,19487.0,493.0,32989.0,344.0,462,7.0,928453.0,8043.0,115434444,2166,139414.0,124,Africa
51,Bahrain,52440,468.0,190.0,0.0,49395.0,348.0,2855.0,37.0,30648,111.0,1118837.0,653886.0,1711057,33,9006.0,2,Asia
52,Venezuela,47756,1028.0,391.0,5.0,39027.0,915.0,8338.0,99.0,1680,14.0,1775594.0,62473.0,28421581,595,72689.0,16,South America
53,Algeria,44833,339.0,1518.0,8.0,31493.0,249.0,11822.0,29.0,1019,35.0,0.0,0.0,43984569,981,28975.0,,Africa
54,Ghana,44460,162.0,276.0,0.0,43121.0,158.0,1063.0,6.0,1426,9.0,442185.0,14181.0,31181428,701,112976.0,71,Africa
55,Kyrgyzstan,43958,60.0,1059.0,1.0,38649.0,190.0,4250.0,24.0,6719,162.0,267718.0,40920.0,6542426,149,6178.0,24,Asia
56,Armenia,43878,97.0,881.0,2.0,38356.0,634.0,4641.0,0.0,14803,297.0,206929.0,69809.0,2964219,68,3365.0,14,Asia
57,Switzerland,42393,216.0,2011.0,5.0,36300.0,200.0,4082.0,16.0,4892,232.0,1023203.0,118076.0,8665615,204,4309.0,8,Europe
58,Costa Rica,42184,897.0,443.0,7.0,16270.0,214.0,25471.0,149.0,8268,87.0,150106.0,29420.0,5102158,121,11517.0,34,North America
59,Uzbekistan,42127,234.0,323.0,3.0,39538.0,263.0,2266.0,147.0,1256,10.0,1377915.0,41068.0,33551824,796,103876.0,24,Asia
60,Nepal,40529,1069.0,239.0,11.0,22178.0,768.0,18112.0,0.0,1387,8.0,705560.0,24142.0,29225196,721,122281.0,41,Asia
61,Afghanistan,38196,31.0,1406.0,4.0,29231.0,142.0,7559.0,41.0,978,36.0,102778.0,2630.0,39074280,1023,27791.0,380,Asia
62,Moldova,37208,288.0,1008.0,13.0,25872.0,0.0,10328.0,575.0,9228,250.0,207925.0,51565.0,4032294,108,4000.0,19,Europe
63,Azerbaijan,36578,143.0,536.0,2.0,33977.0,130.0,2065.0,0.0,3602,53.0,928666.0,91449.0,10154978,278,18946.0,11,Asia
64,Kenya,34315,114.0,577.0,0.0,20211.0,318.0,13527.0,44.0,636,11.0,456088.0,8451.0,53968739,1573,93533.0,118,Africa
65,Serbia,31482,76.0,715.0,2.0,30053.0,25.0,714.0,48.0,3606,82.0,938546.0,107495.0,8731081,277,12211.0,9,Europe
66,Ireland,29025,214.0,1777.0,0.0,23364.0,0.0,3884.0,6.0,5867,359.0,844706.0,170742.0,4947267,170,2784.0,6,Europe
67,Austria,27642,204.0,734.0,1.0,23565.0,339.0,3343.0,30.0,3066,81.0,1193127.0,132344.0,9015361,326,12283.0,8,Europe
68,El Salvador,25820,91.0,724.0,7.0,14570.0,278.0,10526.0,261.0,3977,112.0,317809.0,48955.0,6491923,251,8967.0,20,North America
