,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Tot Cases/1M ppl
0,Date0809,841,29,11,1,395,0,435,0,9,1,482456,4952,115850,8857296,202,0
1,Date0810,841,0,13,2,399,4,429,0,9,0,482456,4952,115853,7494819,202,0
2,Date0811,866,19,16,1,399,0,451,0,9,2,482456,4951,112517,6089988,202,0
3,Date0812,883,17,17,1,409,10,457,0,9,2,621823,6382,110351,5731754,157,0
4,Date0813,911,28,21,4,425,16,465,0,9,2,621823,6381,106962,4640105,157,0
5,Date0814,930,19,22,1,437,12,471,0,10,2,621823,6381,104779,4429300,157,0
6,Date0815,951,21,23,1,447,10,481,0,10,2,621823,6381,102468,4236825,157,0
7,Date0816,962,11,24,1,456,9,482,0,0,0,723596,7425,101299,4060391,135,10
8,Date0817,962,11,24,1,456,9,482,0,10,2,723596,7425,101304,4060590,135,0
9,Date0818,983,21,24,0,467,11,492,0,10,2,723596,7425,99140,4060590,135,0
10,Date0819,994,5,25,0,533,7,436,0,10,3,723596,7425,98045,3898262,135,0
11,Date0820,1007,13,25,0,542,9,440,0,10,3,817208,8385,96784,3898453,119,0
12,Date0821,1009,2,25,0,545,3,439,0,10,3,817208,8385,96592,3898453,119,0
13,Date0822,1014,5,26,1,563,18,425,0,10,3,817208,8385,96118,3748605,119,0
14,Date0823,1016,2,27,1,563,0,426,0,10,3,817208,8385,95931,3609856,119,0
15,Date0824,1022,6,27,0,587,24,408,0,10,3,817208,8384,95370,3609944,119,0
16,Date0825,1029,7,27,0,592,5,410,0,11,3,1009145,10353,94724,3610033,97,0
17,Date0826,1034,5,29,2,632,40,373,0,11,3,1009145,10353,94268,3361148,97,0
18,Date0827,1036,2,30,1,637,5,369,0,11,3,1009145,10353,94091,3249269,97,0
19,Date0828,1038,2,30,0,663,26,345,0,11,3,1009145,10353,93910,3249269,97,0
20,Date0829,1040,2,32,2,677,14,331,0,11,3,1009145,10352,93734,3046339,97,0
21,Date0830,1040,0,32,0,695,18,313,0,11,3,1009145,10352,93734,3046339,97,0
22,Date0831,1044,4,34,2,707,12,303,0,11,3,1009145,10352,93377,2867213,97,0
23,Date0901,1044,0,34,0,735,28,275,0,11,3,1009145,10351,93381,2867353,97,0
24,Date0902,1046,2,34,0,746,11,266,0,11,3,1009145,10351,93203,2867353,97,0
25,Date0903,1046,0,35,1,755,9,256,0,11,4,1009145,10351,93205,2785497,97,0
26,Date0904,1049,3,35,0,772,17,242,0,11,4,1009145,10351,92941,2785566,97,0
27,Date0905,1049,0,35,0,805,33,209,0,11,4,1009145,10351,92943,2785634,97,0
28,Date0906,1049,0,35,0,815,10,199,0,11,4,1009145,10350,92948,2785770,97,0
29,Date0907,1049,0,35,0,853,38,161,0,11,4,1009145,10350,92948,2785770,97,0
30,Date0908,1049,0,35,0,853,38,161,0,11,4,1009145,10350,92950,2785839,97,0
31,Date0909,1054,5,35,0,868,15,151,0,11,4,1009145,10350,92509,2785839,97,0
32,Date0910,1059,5,35,0,890,22,134,0,11,4,1009145,10349,92077,2785975,97,0
33,Date0911,1059,0,35,0,893,3,131,0,11,4,1009145,10349,92077,2785975,97,0
34,Date0912,1060,0,35,0,910,8,115,0,11,4,1009145,10348,91997,2786180,97,0
35,Date0913,1063,3,35,0,918,8,110,0,11,4,1009145,10348,91737,2786180,97,0
36,Date0914,1063,3,35,0,918,8,110,0,11,4,1009145,10348,91739,2786249,97,0
37,Date0915,1063,0,35,0,931,5,97,0,11,4,1009145,10348,91744,2786385,97,0
38,Date0916,1063,0,35,0,936,5,92,0,11,4,1009145,10348,91744,2786385,97,0
39,Date0917,1066,3,35,0,940,4,91,0,11,4,1009145,10347,91488,2786453,97,0
